"B1_x","B1_y","N_x","N_y","B_x","B_y"
1.21,1.590909091,1.21,1.108181818,1.21,1.763016529,
1.22,1.577868852,1.22,1.11030303,1.22,1.751912568,
1.23,1.56504065,1.23,1.112424242,1.23,1.74098916,
1.24,1.552419355,1.24,1.114545455,1.24,1.730241935,
1.25,1.54,1.25,1.116666667,1.25,1.719666667,
1.26,1.527777778,1.26,1.118787879,1.26,1.709259259,
1.27,1.515748031,1.27,1.120909091,1.27,1.699015748,
1.28,1.50390625,1.28,1.123030303,1.28,1.688932292,
1.29,1.492248062,1.29,1.125151515,1.29,1.679005168,
1.3,1.480769231,1.3,1.127272727,1.3,1.669230769,
1.31,1.469465649,1.31,1.129393939,1.31,1.659605598,
1.32,1.458333333,1.32,1.131515152,1.32,1.650126263,
1.33,1.447368421,1.33,1.133636364,1.33,1.640789474,
1.34,1.436567164,1.34,1.135757576,1.34,1.63159204,
1.35,1.425925926,1.35,1.137878788,1.35,1.622530864,
1.36,1.415441176,1.36,1.14,1.36,1.613602941,
1.37,1.405109489,1.37,1.142121212,1.37,1.604805353,
1.38,1.394927536,1.38,1.144242424,1.38,1.596135266,
1.39,1.384892086,1.39,1.146363636,1.39,1.587589928,
1.4,1.375,1.4,1.148484848,1.4,1.579166667,
1.41,1.365248227,1.41,1.150606061,1.41,1.570862884,
1.42,1.355633803,1.42,1.152727273,1.42,1.562676056,
1.43,1.346153846,1.43,1.154848485,1.43,1.55460373,
1.44,1.336805556,1.44,1.156969697,1.44,1.546643519,
1.45,1.327586207,1.45,1.159090909,1.45,1.538793103,
1.46,1.318493151,1.46,1.161212121,1.46,1.531050228,
1.47,1.30952381,1.47,1.163333333,1.47,1.523412698,
1.48,1.300675676,1.48,1.165454545,1.48,1.515878378,
1.49,1.291946309,1.49,1.167575758,1.49,1.50844519,
1.5,1.283333333,1.5,1.16969697,1.5,1.501111111,
1.51,1.274834437,1.51,1.171818182,1.51,1.493874172,
1.52,1.266447368,1.52,1.173939394,1.52,1.486732456,
1.53,1.258169935,1.53,1.176060606,1.53,1.479684096,
1.54,1.25,1.54,1.178181818,1.54,1.472727273,
1.55,1.241935484,1.55,1.18030303,1.55,1.465860215,
1.56,1.233974359,1.56,1.182424242,1.56,1.459081197,
1.57,1.22611465,1.57,1.184545455,1.57,1.452388535,
1.58,1.21835443,1.58,1.186666667,1.58,1.445780591,
1.59,1.210691824,1.59,1.188787879,1.59,1.439255765,
1.6,1.203125,1.6,1.190909091,1.6,1.4328125,
1.61,1.195652174,1.61,1.193030303,1.61,1.426449275,
1.62,1.188271605,1.62,1.195151515,1.62,1.420164609,
1.63,1.180981595,1.63,1.197272727,1.63,1.413957055,
1.64,1.173780488,1.64,1.199393939,1.64,1.407825203,
1.65,1.166666667,1.65,1.201515152,1.65,1.401767677,
1.66,1.159638554,1.66,1.203636364,1.66,1.395783133,
1.67,1.152694611,1.67,1.205757576,1.67,1.389870259,
1.68,1.145833333,1.68,1.207878788,1.68,1.384027778,
1.69,1.139053254,1.69,1.21,1.69,1.378254438,
1.7,1.132352941,1.7,1.212121212,1.7,1.37254902,
1.71,1.125730994,1.71,1.214242424,1.71,1.366910331,
1.72,1.119186047,1.72,1.216363636,1.72,1.361337209,
1.73,1.112716763,1.73,1.218484848,1.73,1.355828516,
1.74,1.106321839,1.74,1.220606061,1.74,1.350383142,
1.75,1.1,1.75,1.222727273,1.75,1.345,
1.76,1.09375,1.76,1.224848485,1.76,1.33967803,
1.77,1.087570621,1.77,1.226969697,1.77,1.334416196,
1.78,1.081460674,1.78,1.229090909,1.78,1.329213483,
1.79,1.075418994,1.79,1.231212121,1.79,1.324068901,
1.8,1.069444444,1.8,1.233333333,1.8,1.318981481,
1.81,1.063535912,1.81,1.235454545,1.81,1.313950276,
1.82,1.057692308,1.82,1.237575758,1.82,1.308974359,
1.83,1.051912568,1.83,1.23969697,1.83,1.304052823,
1.84,1.046195652,1.84,1.241818182,1.84,1.299184783,
1.85,1.040540541,1.85,1.243939394,1.85,1.294369369,
1.86,1.034946237,1.86,1.246060606,1.86,1.289605735,
1.87,1.029411765,1.87,1.248181818,1.87,1.284893048,
1.88,1.02393617,1.88,1.25030303,1.88,1.280230496,
1.89,1.018518519,1.89,1.252424242,1.89,1.275617284,
1.9,1.013157895,1.9,1.254545455,1.9,1.271052632,
1.91,1.007853403,1.91,1.256666667,1.91,1.266535777,
1.92,1.002604167,1.92,1.258787879,1.92,1.262065972,
1.93,0.9974093264,1.93,1.260909091,1.93,1.257642487,
1.94,0.9922680412,1.94,1.263030303,1.94,1.253264605,
1.95,0.9871794872,1.95,1.265151515,1.95,1.248931624,
1.96,0.9821428571,1.96,1.267272727,1.96,1.244642857,
1.97,0.9771573604,1.97,1.269393939,1.97,1.240397631,
1.98,0.9722222222,1.98,1.271515152,1.98,1.236195286,
1.99,0.9673366834,1.99,1.273636364,1.99,1.232035176,
2,0.9625,2,1.275757576,2,1.227916667,
2.01,0.9577114428,2.01,1.277878788,2.01,1.223839138,
2.02,0.952970297,2.02,1.28,2.02,1.21980198,
2.03,0.9482758621,2.03,1.282121212,2.03,1.215804598,
2.04,0.943627451,2.04,1.284242424,2.04,1.211846405,
2.05,0.9390243902,2.05,1.286363636,2.05,1.207926829,
2.06,0.9344660194,2.06,1.288484848,2.06,1.204045307,
2.07,0.9299516908,2.07,1.290606061,2.07,1.200201288,
2.08,0.9254807692,2.08,1.292727273,2.08,1.196394231,
2.09,0.9210526316,2.09,1.294848485,2.09,1.192623604,
2.1,0.9166666667,2.1,1.296969697,2.1,1.188888889,
2.11,0.9123222749,2.11,1.299090909,2.11,1.185189573,
2.12,0.9080188679,2.12,1.301212121,2.12,1.181525157,
2.13,0.9037558685,2.13,1.303333333,2.13,1.177895149,
2.14,0.8995327103,2.14,1.305454545,2.14,1.174299065,
2.15,0.8953488372,2.15,1.307575758,2.15,1.170736434,
