B_x,B_y
3.98,0.820184255
3.99,0.819152047
4,0.818125
4.01,0.816084788
4.02,0.814054726
4.03,0.81203474
4.04,0.810024753
4.05,0.808024691
4.06,0.806034483
4.07,0.804054054
4.08,0.802083333
4.09,0.800122249
4.1,0.798170732
4.11,0.796228711
4.12,0.794296117
4.13,0.792372881
4.14,0.790458937
4.15,0.788554217
4.16,0.786658654
4.17,0.784772182
4.18,0.782894737
4.19,0.781026253
4.2,0.779166667
4.21,0.777315915
4.22,0.775473934
4.23,0.773640662
4.24,0.771816038
4.25,0.77
4.26,0.768192488
4.27,0.766393443
4.28,0.764602804
4.29,0.762820513
4.3,0.761046512
4.31,0.759280743
4.32,0.757523148
4.33,0.755773672
4.34,0.754032258
4.35,0.752298851
4.36,0.750573395
4.37,0.748855835
4.38,0.747146119
4.39,0.745444191
4.4,0.74375
4.41,0.742063492
4.42,0.740384615
4.43,0.738713318
4.44,0.73704955
4.45,0.735393258
4.46,0.733744395
4.47,0.732102908
4.48,0.73046875
4.49,0.728841871
